# schema_version: 2026-05-18_v1
# columns: id, chunk_de, chunk_vn, type, topic, level, source, first_seen, last_practiced, frequency, note
# id format: CH-<YYYYMMDD>-<NNN>
# type enum: redemittel | collocation | idiom | phrasal | formula
# topic enum: Arbeit | Wohnen | Gesundheit | Behörde | Familie | Freizeit | Bildung | Einkauf | Verkehr | Wetter | general
# level enum: A1 | A2 | B1 | B2 | C1 | C2
# Append-only. Update only frequency + last_practiced.
id,chunk_de,chunk_vn,type,topic,level,source,first_seen,last_practiced,frequency,note
CH-20260518-001,Einfluss auf + Akk. haben,có ảnh hưởng đến...,collocation,general,B1,SRC-001,2026-05-18,2026-05-18,1,Akk. cố định sau 'auf'
CH-20260518-002,sich an + Akk. anpassen,thích nghi với...,phrasal,general,B1,SRC-001,2026-05-18,2026-05-18,1,Trennbar + reflexiv; Akk. sau 'an'
CH-20260518-003,sich auf + Akk. einstellen,thích ứng với...,phrasal,general,B1,SRC-001,2026-05-18,2026-05-18,1,Trennbar + reflexiv; pronominaladverb 'darauf' khi N được thay thế
CH-20260518-004,sollte + Partizip II + werden,nên được + V (Passiv + Modalverb),formula,general,B1,SRC-001,2026-05-18,2026-05-18,1,Pattern B1 quan trọng - DTZ hay test
CH-20260518-005,"dürfen kein(e) + N + Verb",không được phép làm... (cấm),formula,general,B1,SRC-001,2026-05-18,2026-05-18,1,"Modal + Negation = cấm; vd: dürfen keine Gewalt anwenden"
CH-20260518-006,positive Aspekte erkennen,nhận ra các mặt tích cực,collocation,general,B1,SRC-001,2026-05-18,2026-05-18,1,Synonym: positive Seiten sehen
CH-20260518-007,immense Chancen haben durch + Akk.,có cơ hội to lớn nhờ...,collocation,general,B1,SRC-001,2026-05-18,2026-05-18,1,
CH-20260518-008,die ältere/jüngere Generation,thế hệ lớn/trẻ hơn,collocation,Familie,B1,SRC-001,2026-05-18,2026-05-18,1,Komparativ Adj + Substantiv
CH-20260518-009,"deren + N (Genitiv-Relativ, f.Sg./Pl.)",của họ/của chúng (đại từ quan hệ sở hữu),formula,general,B1,SRC-001,2026-05-18,2026-05-18,1,"Phân biệt dessen (m./n.Sg.) vs deren (f.Sg./Pl.); B1-B2 grammar"
CH-20260518-010,"nicht nur ..., sondern auch ...","không chỉ ..., mà còn ...",formula,general,B1,SRC-002,2026-05-18,2026-05-18,1,"Konjunktion 2-vế, ko đảo ngữ vế 2; B1 cực phổ biến"
CH-20260518-011,führen zu + Dat.,dẫn đến...,phrasal,general,B1,SRC-002,2026-05-18,2026-05-18,1,"Akk → Dat. sau 'zu'; vd: Stress führt zu Krankheit"
CH-20260518-012,basierend auf + Dat.,dựa trên...,formula,general,B1,SRC-002,2026-05-18,2026-05-18,1,"Partizip I của basieren auf; văn phong formal"
CH-20260518-013,"so + P.II + werden, dass + Nebensatz","được ... theo cách sao cho...",formula,general,B1,SRC-001,2026-05-18,2026-05-18,1,"Variant của CH-004 (Passiv+Modal) thêm Konsekutivsatz 'so...,dass...'"
CH-20260518-014,mit + Dat. verbunden sein,được kết nối với...,formula,Technologie,B1,SRC-001,2026-05-18,2026-05-18,1,"Zustandspassiv của 'verbinden'; phân biệt với 'verbunden werden' (Vorgangspassiv)"
CH-20260518-015,jdm. Chancen/Möglichkeiten eröffnen,mở ra cơ hội/khả năng cho ai,collocation,Arbeit,B1,SRC-001,2026-05-18,2026-05-18,1,"Dat. người + Akk. cơ hội"
