Từ,Giống,Loại từ,Nghĩa Việt,Câu ví dụ
übersehen,,Verb,bỏ sót; không nhận ra,Ich habe den Fehler übersehen.
vermieten,,Verb,cho thuê,Die Familie möchte die Wohnung vermieten.
Trubel,der,Nomen,sự nhộn nhịp; sự tất bật,Im Trubel des Alltags vergisst man oft kleine Dinge.
jedoch,,Konjunktion/từ nối,tuy nhiên,Ich wollte kommen
zugänglich,,Adjektiv,có thể tiếp cận; có thể vào được,Die Haltestelle ist momentan nicht zugänglich.
umleiten,,Verb,chuyển hướng; đổi tuyến,Die U-Bahn-Linien werden wegen Bauarbeiten umgeleitet.
umsteigen,,Verb,đổi chuyến; chuyển tuyến,In Lippen Straße müssen die Fahrgäste umsteigen.
fast windstill,,Adjektivphrase,gần như lặng gió,Heute bleibt es sonnig und fast windstill.
Wartungsarbeiten,die,Nomen,công việc bảo trì,Wegen der Wartungsarbeiten gibt es morgen kein Wasser.
Wasserleitung,die,Nomen,đường ống nước,Die Wasserleitungen werden am Montag gewartet.
erreichbar,,Adjektiv,có thể liên lạc được; có mặt để tiếp cận,Zwischen 8 und 16 Uhr sollte jemand in der Wohnung erreichbar sein.
hinterlegen,,Verb,gửi lại; để lại; ký gửi,Sie können den Wohnungsschlüssel bei einem Nachbarn hinterlegen.
Kellerabteil,das,Nomen,ngăn/khoang hầm riêng,Persönliche Gegenstände gehören nur ins eigene Kellerabteil.
Kellergang,der,Nomen,hành lang tầng hầm,Auf dem Kellergang dürfen keine Sachen stehen.
Fluchtweg,der,Nomen,lối thoát hiểm,Die Fluchtwege müssen frei bleiben.
zusammenfalten,,Verb,gấp gọn; gập lại,Leere Kartons soll man vorher zusammenfalten.
Sperrmüllservice,der,Nomen,dịch vụ thu gom rác cồng kềnh,Für alte Möbel rufen Sie bitte den Sperrmüllservice an.
Abholtermin,der,Nomen,lịch hẹn lấy/thu gom,Vereinbaren Sie einen Abholtermin mit der Gemeinde.
Stellenanzeige,die,Nomen,tin tuyển dụng; thông báo tuyển việc,Ich habe Ihre Stellenanzeige gelesen.
Verstärkung,die,Nomen,nhân sự bổ sung; người hỗ trợ thêm,Sie suchen eine freundliche Verstärkung für Ihr Team.
sich um eine Stelle bewerben,,Verbphrase,ứng tuyển vào một vị trí,Ich möchte mich um diese Stelle bewerben.
