# schema_version: 2026-05-18_v1
# columns: filepath, processed_at, agent, output_rows, output_files, status, note
# agent enum: vocab-extractor | mistake-auditor | listening-coach | speaking-coach | other
# status enum: ok | partial | failed
# Append-only.
filepath,processed_at,agent,output_rows,output_files,status,note
input/text/2026-05-18_tutor_slide_technologie.md,2026-05-18T12:19:45Z,vocab-extractor,28,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,"19 vocab + 9 chunks + 1 source từ Tutor session 2026-05-18 (Technologie & Gesellschaft); role chuyển từ Tutor sang Vocab Extractor theo yêu cầu user"
input/text/2026-05-18_tutor_slide_technologie.md,2026-05-18T12:36:00Z,vocab-extractor,13,vocab_master.csv,ok,"Batch 2: 13 vocab từ Slide 3 (Aussage 1-3 Technologie - Fließtext): VOC-020 → 032"
input/text/2026-05-18_tutor_slide_ernaehrung.md,2026-05-18T12:36:00Z,vocab-extractor,28,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,"19 vocab (VOC-033 → 051) + 9 chunks (CH-010 → 018) + SRC-002 từ slide Ernährung (6 Aussagen MC)"
input/text/2026-05-18_tutor_slide_ernaehrung.md,2026-05-18T12:45:00Z,vocab-extractor,11,vocab_master.csv;chunks_master.csv,ok,"Batch 3: 6 vocab (VOC-052 → 057) + 5 chunks (CH-019 → 023) từ Ernährung Fließtext-Aussagen 1-3. Note: source có 4 Lehrbuch-Fehler đã document trong evidence file, KHÔNG propagate vào vocab"
C:\data_share\B1\Deutsch-vorbereitung\Hören\Teil 4\4.17.html,2026-05-18T20:40:00Z,vocab-extractor,,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,Hören Teil 4 — 4.17; cùng SRC-003 batch (extract gộp 9 file)
C:\data_share\B1\Deutsch-vorbereitung\Hören\Teil 4\4.18.html,2026-05-18T20:40:00Z,vocab-extractor,,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,Hören Teil 4 — 4.18; cùng SRC-003 batch (extract gộp 9 file)
C:\data_share\B1\Deutsch-vorbereitung\Hören\Teil 4\4.19.html,2026-05-18T20:40:00Z,vocab-extractor,,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,Hören Teil 4 — 4.19; cùng SRC-003 batch (extract gộp 9 file)
C:\data_share\B1\Deutsch-vorbereitung\Hören\Teil 4\4.20.html,2026-05-18T20:40:00Z,vocab-extractor,,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,Hören Teil 4 — 4.20; cùng SRC-003 batch (extract gộp 9 file)
C:\data_share\B1\Deutsch-vorbereitung\Hören\Teil 4\4.21.html,2026-05-18T20:40:00Z,vocab-extractor,,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,Hören Teil 4 — 4.21; cùng SRC-003 batch (extract gộp 9 file)
C:\data_share\B1\Deutsch-vorbereitung\Hören\Teil 4\4.22.html,2026-05-18T20:40:00Z,vocab-extractor,,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,Hören Teil 4 — 4.22; cùng SRC-003 batch (extract gộp 9 file)
C:\data_share\B1\Deutsch-vorbereitung\Hören\Teil 4\4.23.html,2026-05-18T20:40:00Z,vocab-extractor,,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,Hören Teil 4 — 4.23; cùng SRC-003 batch (extract gộp 9 file)
C:\data_share\B1\Deutsch-vorbereitung\Hören\Teil 4\4.24.html,2026-05-18T20:40:00Z,vocab-extractor,,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,Hören Teil 4 — 4.24; cùng SRC-003 batch (extract gộp 9 file)
C:\data_share\B1\Deutsch-vorbereitung\Hören\Teil 4\4.25.html,2026-05-18T20:40:00Z,vocab-extractor,,vocab_master.csv;chunks_master.csv;sources_master.csv,ok,Hören Teil 4 — 4.25; cùng SRC-003 batch (extract gộp 9 file)
aussage1_arbeit_remote_work.jpg,2026-05-22,vocab-extractor,7,SRC-004,tutor
input/html/deutsch-vorbereitung/horen/4.1.html,2026-05-22 13:11:56,vocab-extractor,14,24,ok,deutsch-vorbereitung/horen
input/html/deutsch-vorbereitung/horen/1.1/1.1_transcript.md,2026-05-22 16:55:19,vocab-extractor,7,vocab_master.csv,ok,horen/1.1 batch-extract
input/html/deutsch-vorbereitung/horen/1.1/1.1_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.1 batch-extract
input/html/deutsch-vorbereitung/horen/1.2/1.2_transcript.md,2026-05-22 16:55:19,vocab-extractor,6,vocab_master.csv,ok,horen/1.2 batch-extract
input/html/deutsch-vorbereitung/horen/1.2/1.2_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.2 batch-extract
input/html/deutsch-vorbereitung/horen/1.3/1.3_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.3 batch-extract
input/html/deutsch-vorbereitung/horen/1.3/1.3_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.3 batch-extract
input/html/deutsch-vorbereitung/horen/1.4/1.4_transcript.md,2026-05-22 16:55:19,vocab-extractor,6,vocab_master.csv,ok,horen/1.4 batch-extract
input/html/deutsch-vorbereitung/horen/1.4/1.4_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.4 batch-extract
input/html/deutsch-vorbereitung/horen/1.5/1.5_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.5 batch-extract
input/html/deutsch-vorbereitung/horen/1.5/1.5_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.5 batch-extract
input/html/deutsch-vorbereitung/horen/1.6/1.6_transcript.md,2026-05-22 16:55:19,vocab-extractor,6,vocab_master.csv,ok,horen/1.6 batch-extract
input/html/deutsch-vorbereitung/horen/1.6/1.6_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.6 batch-extract
input/html/deutsch-vorbereitung/horen/1.7/1.7_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.7 batch-extract
input/html/deutsch-vorbereitung/horen/1.7/1.7_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.7 batch-extract
input/html/deutsch-vorbereitung/horen/1.8/1.8_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.8 batch-extract
