lingq_id,term,fragment,hint,status,extended_status,tags,importance,last_studied_correct,first_seen,last_synced,notes
,ab,"Der Zug fährt ab Gleis 4.","từ (nơi xuất phát)",1,0,wortart:Präposition;level:B1;thema:Verkehr;voc:VOC-20260522-714,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-714]\n\n## Grammar / Notes\nđi với Dat.\n\n## Collocations\n- Einfluss auf + Akk. haben (có ảnh hưởng đến...)\n- immense Chancen haben durch + Akk. (có cơ hội to lớn nhờ...)\n- jdm. helfen, ... zu + Infinitiv (giúp ai đó làm gì)\n- Zugang zu + Dat. haben (có sự tiếp cận đến...)\n- Verantwortung für + Akk. übernehmen (đảm nhận trách nhiệm về...)\n\n## Past mistakes\n- 2026-05-24 (Grammar): - **Mistake:** ""Welche Stock has Mobile Zubehör?"" — ""has"" và ""Mobile"" là tiếng Anh - **Correct:** ""Auf welchem Stock gibt es Handyzubehör?"" - **Rule:** Khi não retrieve không kịp tiếng Đức → fallback sang tiếng Anh. Đây là biểu hiện rõ của ""đứt gãy recognition vs production"" (Chat 7 trong Notion). Cách fix duy nhất: tăng tần suất Active Retrieval. Mỗi từ Anh lọt vào → mistake_count tăng 2 (không phải 1) vì là tín hiệu nặng hơn. - **Example đúng thêm:** - ""có gì ở đâu"" → *es gibt + Akkusativ* (KHÔNG dùng ""haben/hat"" cho tồn tại) - ""điện thoại di động"" → *das Handy* (KHÔNG dùng ""Mobile"") - ""máy tính"" → *der Computer / der Rechner* (Computer đã thành Đức hợp lệ) - **Pattern count:** 1 - **Source:** SESSION_2026-05-24.md\n- 2026-05-24 (Vocab): - **Mistake:** ""Ich finde ein Heimkino-System."" (ý: tôi đang TÌM) - **Correct:** ""Ich **suche** ein Heimkino-System."" - **Rule:** **suchen** = tìm KIẾM (chưa thấy, đang quá trình); **finden** = tìm THẤY (đã thấy/tìm ra). Tiếng Việt ""tìm"" mơ hồ — gộp cả 2 → não user copy sang ""finden"" (gặp đầu tiên trong từ điển). Quy tắc khắc: ngữ cảnh ""đang đi tìm"" → **suchen**; ngữ cảnh ""đã tìm được rồi"" → Perfekt **gefunden**. - **Example đúng thêm:** - *Ich **suche** eine Wohnung.* (đang tìm) - *Ich habe eine Wohnung **gefunden**.* (đã tìm được) - *Wo **finde** ich die Toilette?* (Tôi tìm thấy nhà vệ sinh ở đâu — kiểu phổ biến nhưng nghĩa thực vẫn là ""tìm thấy"") - **Pattern count:** 1 - **Source:** SESSION_2026-05-24.md\n- 2026-05-26 (Grammar): - **Mistake:** `Schnäppchen` (thiếu `ein`), `Geschirr` (thiếu `das`), `die Kette` (→ `eine goldene Kette`) - **Correct:** `ein Schnäppchen`, `das Geschirr`, `eine goldene Kette` - **Rule:** Tân ngữ trong câu tiếng Đức hầu như LUÔN cần mạo từ — bỏ mạo từ nghe như robot. Ngoài ra khi ngữ cảnh là ""một cái nào đó chưa xác định"" → dùng mạo từ bất định (`ein/eine/ein`), KHÔNG dùng mạo từ xác định (`der/die/das`). `Geschirr` uncountable → `das Geschirr`. - **Example đúng thêm:** - *Ich suche **eine** goldene Kette.* - *Ich wasche **das** Geschirr.* - *Ich habe **ein** Schnäppchen gemacht.* - **Pattern count:** 2 (lặp từ 2026-05-24) - **Source:** SESSION_2026-05-26.md - **Related words:** Schnäppchen, Geschirr, Kette\n- 2026-05-26 (Vocab): - **Mistake:** `washare ich Geschirr` — ""washare"" không tồn tại trong tiếng Đức - **Correct:** `ich wasche das Geschirr` (hoặc `ich wasche ... ab` / `ich spüle`) - **Rule:** Khi não không retrieve được động từ Đức → fallback bịa từ lai Anh-Đức (`washare`, tương tự `has` hôm 2026-05-24). Tín hiệu: ""waschen"" chưa vào long-term production. Cần thêm vào Anki với câu ví dụ rửa bát. Pattern đếm nặng hơn (×2 tín hiệu). - **Example đúng thêm:** - *Kannst du bitte **das Geschirr abwaschen**?* - *Ich **spüle** nach dem Essen.* - **Pattern count:** 2 (lặp pattern ""tiếng Anh lọt vào"" từ 2026-05-24) - **Source:** SESSION_2026-05-26.md\n- 2026-05-24 (Văn hóa/Grammar): - **Mistake:** ""Verkaufts du Verlängerungskabel?"" (dùng ""du"" với nhân viên cửa hàng) - **Correct:** ""Verkaufen **Sie** ein Verlängerungskabel?"" - **Rule:** BẮT BUỘC dùng **Sie** (lịch sự) với: nhân viên cửa hàng, người lạ, người lớn tuổi, cán bộ Behörde, bác sĩ, sếp. **du** chỉ với: bạn bè, gia đình, trẻ em, đồng nghiệp thân được mời ""duzen"". Thi DTZ Sprechen lẫn du/Sie sai context → trừ điểm. - **Example đúng thêm:** - Vào cửa hàng: *""Entschuldigung, **haben Sie** ...?""* - Hỏi đường: *""Entschuldigung, **können Sie** mir helfen?""* - Gặp bác sĩ: *""Guten Tag, ich **habe** Kopfschmerzen.""* - **Pattern count:** 1 - **Source:** SESSION_2026-05-24.md\n"
,abbauen,"Sport hilft, Stress abzubauen.","giải toả; tháo dỡ",1,0,wortart:Verb;level:B1;thema:Gesundheit;voc:VOC-20260518-126,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260518-126]\n\n## Grammar / Notes\nTrennbar: ab|bauen; gegenteil: aufbauen | Quelle: Teil4 4.22\n\n## Collocations\n- Stress abbauen (giải toả căng thẳng)\n"
,abbrechen,"Sie sollen den Kauf nicht abbrechen.","ngắt / hủy bỏ",1,0,wortart:Verb;level:B1;thema:Einkauf;voc:VOC-20260522-967,0,,2026-05-31,,
,abbuchen,"Die BKK kann die Beiträge nicht von seinem Bankkonto abbuchen.","khấu trừ tài khoản",1,0,wortart:Verb;level:B1;thema:Behörde;voc:VOC-20260522-244,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-244]\n\n## Grammar / Notes\ntrennbar\n"
,abfahren,"Der Zug nach Berlin fährt nicht um 14:30 Uhr ab.","khởi hành",1,0,wortart:Verb;level:B1;thema:Verkehr;voc:VOC-20260522-189,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-189]\n\n## Grammar / Notes\ntrennbar\n"
,Abfahrtsort,"Gleis 10 ist nicht mehr der Abfahrtsort.","nơi xuất phát",1,0,wortart:Substantiv;level:B1;thema:Verkehr;voc:VOC-20260522-500,0,,2026-05-31,,
,Abfahrtszeit,"15:45 Uhr ist die richtige Abfahrtszeit für den Zug nach Berlin.","giờ khởi hành",1,0,wortart:Substantiv;level:B1;thema:Verkehr;voc:VOC-20260522-188,0,,2026-05-31,,
,Abfallwirtschaft,"Abfallwirtschaft der Stadt Nordfurt","ngành quản lý rác thải",1,0,wortart:Substantiv;level:B1;thema:Behörde;voc:VOC-20260522-1608,0,,2026-05-31,,
,Abgase,"Auf dem Land gibt es weniger Abgase.","khí thải",1,0,wortart:Substantiv;level:B1;thema:Umwelt;voc:VOC-20260522-017,0,,2026-05-31,,
,abgeben,"Das Auto wurde zur Reparatur abgegeben.","nộp, đưa cho",1,0,wortart:Verb;level:B1;thema:Allgemein;voc:VOC-20260522-1064,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1064]\n\n## Grammar / Notes\ntrennbar, bất quy tắc\n"
